cohort_month,initial_customers,month_index,active_customers,retention_pct
2022-03,30,26,3,10.0
2022-03,30,27,4,13.33
2022-03,30,29,1,3.33
2022-03,30,30,4,13.33
2022-03,30,31,5,16.67
2022-03,30,32,5,16.67
2022-03,30,33,3,10.0
2022-03,30,34,5,16.67
2022-03,30,35,6,20.0
2022-04,31,0,31,100.0
2022-04,31,1,1,3.23
2022-04,31,2,1,3.23
2022-04,31,3,1,3.23
2022-04,31,6,2,6.45
2022-04,31,7,1,3.23
2022-04,31,8,1,3.23
2022-04,31,9,1,3.23
2022-04,31,10,4,12.9
2022-04,31,11,2,6.45
2022-04,31,12,5,16.13
2022-04,31,13,2,6.45
2022-04,31,14,4,12.9
2022-04,31,15,2,6.45
2022-04,31,16,1,3.23
2022-04,31,17,1,3.23
2022-04,31,18,2,6.45
2022-04,31,19,4,12.9
2022-04,31,20,1,3.23
2022-04,31,21,3,9.68
2022-04,31,22,2,6.45
2022-04,31,23,4,12.9
2022-04,31,24,2,6.45
2022-04,31,25,4,12.9
2022-04,31,26,2,6.45
2022-04,31,27,3,9.68
2022-04,31,28,8,25.81
2022-04,31,29,4,12.9
2022-04,31,30,1,3.23
2022-04,31,31,3,9.68
2022-04,31,32,4,12.9
2022-04,31,33,4,12.9
2022-04,31,34,5,16.13
2022-05,23,0,23,100.0
2022-05,23,1,1,4.35
2022-05,23,2,2,8.7
2022-05,23,4,1,4.35
2022-05,23,7,1,4.35
2022-05,23,9,1,4.35
2022-05,23,10,3,13.04
2022-05,23,11,5,21.74
2022-05,23,13,5,21.74
2022-05,23,14,1,4.35
2022-05,23,15,3,13.04
2022-05,23,16,2,8.7
2022-05,23,17,2,8.7
2022-05,23,19,2,8.7
2022-05,23,20,2,8.7
2022-05,23,21,2,8.7
2022-05,23,22,3,13.04
2022-05,23,23,2,8.7
2022-05,23,24,1,4.35
2022-05,23,25,3,13.04
2022-05,23,26,1,4.35
2022-05,23,27,4,17.39
2022-05,23,28,2,8.7
2022-05,23,29,3,13.04
2022-05,23,30,3,13.04
2022-05,23,31,2,8.7
2022-05,23,32,3,13.04
2022-05,23,33,3,13.04
2022-06,25,0,25,100.0
2022-06,25,1,1,4.0
2022-06,25,4,1,4.0
2022-06,25,5,1,4.0
2022-06,25,7,3,12.0
2022-06,25,8,1,4.0
2022-06,25,9,3,12.0
2022-06,25,10,2,8.0
2022-06,25,11,2,8.0
2022-06,25,12,3,12.0
2022-06,25,13,1,4.0
2022-06,25,14,3,12.0
2022-06,25,15,2,8.0
2022-06,25,16,1,4.0
2022-06,25,17,1,4.0
2022-06,25,18,6,24.0
2022-06,25,19,1,4.0
2022-06,25,20,5,20.0
2022-06,25,21,2,8.0
2022-06,25,22,2,8.0
2022-06,25,23,3,12.0
2022-06,25,25,2,8.0
2022-06,25,26,1,4.0
2022-06,25,27,3,12.0
2022-06,25,28,2,8.0
2022-06,25,29,2,8.0
2022-06,25,30,3,12.0
2022-06,25,31,5,20.0
2022-06,25,32,7,28.0
2022-07,26,0,26,100.0
2022-07,26,1,1,3.85
2022-07,26,2,1,3.85
2022-07,26,3,2,7.69
2022-07,26,4,2,7.69
2022-07,26,6,3,11.54
2022-07,26,7,3,11.54
2022-07,26,8,1,3.85
2022-07,26,9,2,7.69
2022-07,26,10,1,3.85
2022-07,26,11,1,3.85
2022-07,26,12,4,15.38
2022-07,26,14,3,11.54
2022-07,26,15,2,7.69
2022-07,26,16,4,15.38
2022-07,26,17,2,7.69
2022-07,26,18,3,11.54
2022-07,26,19,4,15.38
2022-07,26,20,1,3.85
2022-07,26,21,1,3.85
2022-07,26,22,5,19.23
2022-07,26,23,2,7.69
2022-07,26,24,5,19.23
2022-07,26,25,2,7.69
2022-07,26,26,4,15.38
2022-07,26,27,2,7.69
2022-07,26,28,3,11.54
2022-07,26,29,4,15.38
2022-07,26,30,3,11.54
2022-07,26,31,4,15.38
2022-08,19,0,19,100.0
2022-08,19,2,2,10.53
2022-08,19,5,1,5.26
2022-08,19,6,1,5.26
2022-08,19,7,3,15.79
2022-08,19,8,1,5.26
2022-08,19,9,3,15.79
2022-08,19,10,1,5.26
2022-08,19,11,3,15.79
2022-08,19,12,2,10.53
2022-08,19,13,1,5.26
2022-08,19,14,3,15.79
2022-08,19,15,1,5.26
2022-08,19,16,1,5.26
2022-08,19,17,2,10.53
2022-08,19,18,1,5.26
2022-08,19,20,4,21.05
2022-08,19,21,5,26.32
2022-08,19,22,3,15.79
2022-08,19,23,3,15.79
2022-08,19,24,2,10.53
2022-08,19,25,1,5.26
2022-08,19,26,3,15.79
2022-08,19,27,1,5.26
2022-08,19,28,1,5.26
2022-08,19,29,1,5.26
2022-08,19,30,3,15.79
2022-09,23,0,23,100.0
2022-09,23,1,1,4.35
2022-09,23,3,1,4.35
2022-09,23,4,2,8.7
2022-09,23,6,2,8.7
2022-09,23,7,3,13.04
2022-09,23,8,3,13.04
2022-09,23,9,4,17.39
2022-09,23,10,1,4.35
2022-09,23,11,2,8.7
2022-09,23,12,3,13.04
2022-09,23,13,1,4.35
2022-09,23,14,1,4.35
2022-09,23,15,6,26.09
2022-09,23,16,2,8.7
2022-09,23,17,2,8.7
2022-09,23,20,1,4.35
2022-09,23,21,1,4.35
2022-09,23,23,2,8.7
2022-09,23,24,1,4.35
2022-09,23,25,1,4.35
2022-09,23,26,1,4.35
2022-09,23,27,2,8.7
2022-09,23,28,4,17.39
2022-09,23,29,1,4.35
2022-10,21,0,21,100.0
2022-10,21,2,1,4.76
2022-10,21,3,2,9.52
2022-10,21,4,1,4.76
2022-10,21,5,2,9.52
2022-10,21,6,1,4.76
2022-10,21,7,2,9.52
2022-10,21,8,3,14.29
2022-10,21,9,3,14.29
2022-10,21,10,1,4.76
2022-10,21,11,3,14.29
2022-10,21,12,2,9.52
2022-10,21,13,1,4.76
2022-10,21,14,3,14.29
2022-10,21,15,3,14.29
2022-10,21,16,2,9.52
2022-10,21,17,1,4.76
2022-10,21,18,2,9.52
2022-10,21,20,2,9.52
2022-10,21,21,3,14.29
2022-10,21,23,3,14.29
2022-10,21,24,1,4.76
2022-10,21,25,1,4.76
2022-10,21,26,2,9.52
2022-10,21,27,4,19.05
2022-10,21,28,2,9.52
2022-11,32,0,32,100.0
2022-11,32,1,1,3.13
2022-11,32,2,3,9.38
2022-11,32,3,1,3.13
2022-11,32,4,4,12.5
2022-11,32,6,4,12.5
2022-11,32,7,3,9.38
2022-11,32,9,2,6.25
2022-11,32,10,2,6.25
2022-11,32,11,3,9.38
2022-11,32,12,3,9.38
2022-11,32,13,3,9.38
2022-11,32,14,3,9.38
2022-11,32,15,4,12.5
2022-11,32,16,5,15.63
2022-11,32,17,6,18.75
2022-11,32,18,6,18.75
2022-11,32,19,6,18.75
2022-11,32,20,5,15.63
2022-11,32,21,3,9.38
2022-11,32,22,2,6.25
2022-11,32,24,5,15.63
2022-11,32,25,2,6.25
2022-11,32,27,9,28.13
2022-12,19,0,19,100.0
2022-12,19,2,2,10.53
2022-12,19,3,1,5.26
2022-12,19,6,1,5.26
2022-12,19,9,2,10.53
2022-12,19,11,3,15.79
2022-12,19,12,2,10.53
2022-12,19,14,6,31.58
2022-12,19,15,1,5.26
2022-12,19,16,4,21.05
2022-12,19,17,6,31.58
2022-12,19,18,1,5.26
2022-12,19,19,3,15.79
2022-12,19,20,3,15.79
2022-12,19,21,1,5.26
2022-12,19,22,4,21.05
2022-12,19,24,3,15.79
2022-12,19,25,2,10.53
2022-12,19,26,1,5.26
2023-01,42,0,42,100.0
2023-01,42,1,3,7.14
2023-01,42,2,4,9.52
2023-01,42,3,7,16.67
2023-01,42,4,4,9.52
2023-01,42,5,3,7.14
2023-01,42,6,4,9.52
2023-01,42,7,3,7.14
2023-01,42,8,2,4.76
2023-01,42,9,4,9.52
2023-01,42,10,1,2.38
2023-01,42,11,2,4.76
2023-01,42,12,7,16.67
2023-01,42,13,7,16.67
2023-01,42,14,1,2.38
2023-01,42,15,4,9.52
2023-01,42,16,6,14.29
2023-01,42,17,2,4.76
2023-01,42,18,6,14.29
2023-01,42,19,3,7.14
2023-01,42,20,3,7.14
2023-01,42,21,4,9.52
2023-01,42,22,3,7.14
2023-01,42,23,4,9.52
2023-01,42,24,5,11.9
2023-01,42,25,6,14.29
2023-02,33,0,33,100.0
2023-02,33,1,5,15.15
2023-02,33,2,3,9.09
2023-02,33,3,5,15.15
2023-02,33,4,4,12.12
2023-02,33,5,4,12.12
2023-02,33,6,5,15.15
2023-02,33,7,2,6.06
2023-02,33,8,3,9.09
2023-02,33,9,3,9.09
2023-02,33,10,5,15.15
2023-02,33,11,10,30.3
2023-02,33,12,4,12.12
2023-02,33,13,6,18.18
2023-02,33,14,3,9.09
2023-02,33,15,3,9.09
2023-02,33,16,1,3.03
2023-02,33,17,2,6.06
2023-02,33,18,5,15.15
2023-02,33,19,5,15.15
2023-02,33,20,6,18.18
2023-02,33,21,5,15.15
2023-02,33,22,2,6.06
2023-02,33,23,4,12.12
2023-02,33,24,3,9.09
2023-03,33,0,33,100.0
2023-03,33,1,3,9.09
2023-03,33,3,2,6.06
2023-03,33,4,3,9.09
2023-03,33,5,5,15.15
2023-03,33,6,4,12.12
2023-03,33,7,3,9.09
2023-03,33,8,4,12.12
2023-03,33,9,1,3.03
2023-03,33,11,3,9.09
2023-03,33,12,2,6.06
2023-03,33,13,6,18.18
2023-03,33,14,3,9.09
2023-03,33,15,1,3.03
2023-03,33,16,2,6.06
2023-03,33,17,2,6.06
2023-03,33,18,2,6.06
2023-03,33,19,3,9.09
2023-03,33,20,5,15.15
2023-03,33,21,3,9.09
2023-03,33,22,2,6.06
2023-03,33,23,4,12.12
2023-04,35,0,35,100.0
2023-04,35,1,4,11.43
2023-04,35,2,3,8.57
2023-04,35,3,3,8.57
2023-04,35,4,1,2.86
2023-04,35,5,4,11.43
2023-04,35,6,5,14.29
2023-04,35,7,4,11.43
2023-04,35,8,2,5.71
2023-04,35,9,4,11.43
2023-04,35,10,4,11.43
2023-04,35,11,3,8.57
2023-04,35,12,2,5.71
2023-04,35,13,7,20.0
2023-04,35,14,6,17.14
2023-04,35,15,4,11.43
2023-04,35,16,8,22.86
2023-04,35,17,2,5.71
2023-04,35,18,6,17.14
2023-04,35,19,3,8.57
2023-04,35,20,4,11.43
2023-04,35,21,4,11.43
2023-04,35,22,9,25.71
2023-05,43,0,43,100.0
2023-05,43,1,2,4.65
2023-05,43,2,4,9.3
2023-05,43,3,5,11.63
2023-05,43,4,3,6.98
2023-05,43,5,4,9.3
2023-05,43,6,3,6.98
2023-05,43,7,2,4.65
2023-05,43,8,4,9.3
2023-05,43,9,5,11.63
2023-05,43,10,6,13.95
2023-05,43,11,7,16.28
2023-05,43,12,4,9.3
2023-05,43,13,3,6.98
2023-05,43,14,3,6.98
2023-05,43,15,1,2.33
2023-05,43,16,5,11.63
2023-05,43,17,5,11.63
2023-05,43,18,4,9.3
2023-05,43,19,4,9.3
2023-05,43,20,5,11.63
2023-05,43,21,11,25.58
2023-06,24,0,24,100.0
2023-06,24,1,1,4.17
2023-06,24,2,1,4.17
2023-06,24,3,3,12.5
2023-06,24,4,2,8.33
2023-06,24,5,5,20.83
2023-06,24,6,3,12.5
2023-06,24,7,1,4.17
2023-06,24,8,5,20.83
2023-06,24,9,2,8.33
2023-06,24,11,4,16.67
2023-06,24,12,1,4.17
2023-06,24,13,2,8.33
2023-06,24,14,1,4.17
2023-06,24,15,2,8.33
2023-06,24,17,2,8.33
2023-06,24,18,4,16.67
2023-06,24,19,3,12.5
2023-06,24,20,4,16.67
2023-07,25,0,25,100.0
2023-07,25,1,4,16.0
2023-07,25,2,3,12.0
2023-07,25,3,1,4.0
2023-07,25,5,3,12.0
2023-07,25,6,2,8.0
2023-07,25,7,1,4.0
2023-07,25,8,1,4.0
2023-07,25,10,2,8.0
2023-07,25,11,4,16.0
2023-07,25,12,2,8.0
2023-07,25,13,3,12.0
2023-07,25,14,4,16.0
2023-07,25,15,4,16.0
2023-07,25,16,1,4.0
2023-07,25,17,2,8.0
2023-07,25,18,2,8.0
2023-07,25,19,4,16.0
2023-08,23,0,23,100.0
2023-08,23,2,2,8.7
2023-08,23,3,3,13.04
2023-08,23,4,2,8.7
2023-08,23,5,1,4.35
2023-08,23,6,2,8.7
2023-08,23,7,2,8.7
2023-08,23,8,1,4.35
2023-08,23,9,2,8.7
2023-08,23,10,3,13.04
2023-08,23,11,2,8.7
2023-08,23,12,1,4.35
2023-08,23,13,2,8.7
2023-08,23,14,6,26.09
2023-08,23,16,5,21.74
2023-08,23,17,3,13.04
2023-08,23,18,6,26.09
2023-09,16,0,16,100.0
2023-09,16,2,1,6.25
2023-09,16,3,1,6.25
2023-09,16,4,2,12.5
2023-09,16,5,4,25.0
2023-09,16,6,2,12.5
2023-09,16,7,2,12.5
2023-09,16,9,1,6.25
2023-09,16,10,2,12.5
2023-09,16,12,2,12.5
2023-09,16,13,2,12.5
2023-09,16,14,2,12.5
2023-09,16,15,1,6.25
2023-09,16,17,3,18.75
2023-10,24,0,24,100.0
2023-10,24,1,3,12.5
2023-10,24,2,1,4.17
2023-10,24,3,3,12.5
2023-10,24,4,1,4.17
2023-10,24,6,2,8.33
2023-10,24,7,3,12.5
2023-10,24,8,2,8.33
2023-10,24,9,3,12.5
2023-10,24,10,2,8.33
2023-10,24,11,2,8.33
2023-10,24,12,3,12.5
2023-10,24,13,2,8.33
2023-10,24,14,2,8.33
2023-10,24,15,3,12.5
2023-10,24,16,2,8.33
2023-11,10,0,10,100.0
2023-11,10,3,1,10.0
2023-11,10,5,1,10.0
2023-11,10,10,1,10.0
2023-11,10,11,2,20.0
2023-11,10,12,1,10.0
2023-11,10,13,1,10.0
2023-11,10,15,2,20.0
2023-12,15,0,15,100.0
2023-12,15,1,3,20.0
2023-12,15,2,3,20.0
2023-12,15,3,2,13.33
2023-12,15,4,2,13.33
2023-12,15,5,3,20.0
2023-12,15,6,1,6.67
2023-12,15,7,2,13.33
2023-12,15,8,2,13.33
2023-12,15,9,1,6.67
2023-12,15,10,1,6.67
2023-12,15,11,1,6.67
2023-12,15,12,1,6.67
2023-12,15,13,3,20.0
2023-12,15,14,1,6.67
2024-01,16,0,16,100.0
2024-01,16,1,3,18.75
2024-01,16,2,1,6.25
2024-01,16,4,2,12.5
2024-01,16,5,2,12.5
2024-01,16,6,3,18.75
2024-01,16,7,3,18.75
2024-01,16,9,4,25.0
2024-01,16,10,1,6.25
2024-01,16,12,1,6.25
2024-01,16,13,4,25.0
2024-02,20,0,20,100.0
2024-02,20,1,4,20.0
2024-02,20,2,1,5.0
2024-02,20,3,7,35.0
2024-02,20,4,2,10.0
2024-02,20,5,3,15.0
2024-02,20,6,4,20.0
2024-02,20,7,2,10.0
2024-02,20,8,4,20.0
2024-02,20,9,3,15.0
2024-02,20,11,3,15.0
2024-02,20,12,1,5.0
2024-03,12,0,12,100.0
2024-03,12,1,4,33.33
2024-03,12,2,1,8.33
2024-03,12,3,2,16.67
2024-03,12,4,1,8.33
2024-03,12,7,1,8.33
2024-03,12,8,1,8.33
2024-03,12,10,1,8.33
2024-04,13,0,13,100.0
2024-04,13,1,1,7.69
2024-04,13,2,1,7.69
2024-04,13,3,2,15.38
2024-04,13,4,1,7.69
2024-04,13,5,1,7.69
2024-04,13,6,1,7.69
2024-04,13,7,3,23.08
2024-04,13,8,1,7.69
2024-04,13,9,2,15.38
2024-04,13,10,1,7.69
2024-05,13,0,13,100.0
2024-05,13,1,4,30.77
2024-05,13,2,1,7.69
2024-05,13,4,1,7.69
2024-05,13,5,1,7.69
2024-05,13,6,2,15.38
2024-05,13,7,1,7.69
2024-05,13,8,1,7.69
2024-05,13,9,1,7.69
2024-06,14,0,14,100.0
2024-06,14,2,2,14.29
2024-06,14,4,2,14.29
2024-06,14,5,1,7.14
2024-06,14,6,2,14.29
2024-06,14,7,1,7.14
2024-06,14,8,2,14.29
2024-07,8,0,8,100.0
2024-07,8,1,1,12.5
2024-07,8,3,1,12.5
2024-07,8,4,1,12.5
2024-07,8,5,1,12.5
2024-08,2,0,2,100.0
2024-08,2,4,1,50.0
2024-08,2,5,1,50.0
2024-09,6,0,6,100.0
2024-09,6,1,1,16.67
2024-09,6,2,2,33.33
2024-09,6,3,1,16.67
2024-09,6,4,1,16.67
2024-09,6,5,1,16.67
2024-10,5,0,5,100.0
2024-10,5,1,1,20.0
2024-10,5,2,1,20.0
2024-10,5,4,1,20.0
2024-11,10,0,10,100.0
2024-11,10,2,1,10.0
2024-11,10,3,1,10.0
2024-12,7,0,7,100.0
2024-12,7,1,1,14.29
2024-12,7,2,2,28.57
2025-01,5,0,5,100.0
2025-02,6,0,6,100.0
